timeOpen,timeClose,timeHigh,timeLow,open,high,low,close,volume,marketCap,timestamp
2021-10-27T00:00:00.000Z,"""2021-10-27T23:59:59.999Z""","""2021-10-27T18:43:09.000Z""","""2021-10-27T04:37:09.000Z""",1.0002388172,1.0015755392,0.9995818005,1.0007912298,124069805052.67,69814305403.3,"""2021-10-27T23:59:59.999Z"
2021-10-26T00:00:00.000Z,"""2021-10-26T23:59:59.999Z""","""2021-10-26T17:22:08.000Z""","""2021-10-26T00:25:08.000Z""",0.9994511047,1.0007602093,0.9993481934,1.0002281883,77630649473.05,69679506337.56,"""2021-10-26T23:59:59.999Z"
2021-10-25T00:00:00.000Z,"""2021-10-25T23:59:59.999Z""","""2021-10-25T16:26:09.000Z""","""2021-10-25T01:00:27.000Z""",1.0002191021,1.0009819296,0.9991507171,0.9993754625,66194185820.74,69530658274.8,"""2021-10-25T23:59:59.999Z"
2021-10-24T00:00:00.000Z,"""2021-10-24T23:59:59.999Z""","""2021-10-24T06:49:09.000Z""","""2021-10-24T22:52:10.000Z""",1.0008559278,1.0010936901,0.9991185706,1.0002229109,66669467996.4,69589618742.79,"""2021-10-24T23:59:59.999Z"
2021-10-23T00:00:00.000Z,"""2021-10-23T23:59:59.999Z""","""2021-10-23T23:37:09.000Z""","""2021-10-23T00:34:08.000Z""",0.9999236507,1.0009201625,0.9998029694,1.0008228746,55395032238.87,69631360685.09,"""2021-10-23T23:59:59.999Z"
2021-10-22T00:00:00.000Z,"""2021-10-22T23:59:59.999Z""","""2021-10-22T10:04:09.000Z""","""2021-10-22T06:13:09.000Z""",1.0000236058,1.000445171,0.9995786739,0.9998790575,73919161798.48,69604690731.71,"""2021-10-22T23:59:59.999Z"
2021-10-21T00:00:00.000Z,"""2021-10-21T23:59:59.999Z""","""2021-10-21T20:43:09.000Z""","""2021-10-21T15:29:08.000Z""",0.9998772874,1.0004358745,0.9993806837,1.0000224386,84189482202.46,69344665875.21,"""2021-10-21T23:59:59.999Z"
2021-10-20T00:00:00.000Z,"""2021-10-20T23:59:59.999Z""","""2021-10-20T04:15:14.000Z""","""2021-10-20T18:08:08.000Z""",1.0001371842,1.0006888281,0.9996119048,0.9999403472,70187915899.85,69038991301.08,"""2021-10-20T23:59:59.999Z"
2021-10-19T00:00:00.000Z,"""2021-10-19T23:59:59.999Z""","""2021-10-19T14:34:08.000Z""","""2021-10-19T01:27:15.000Z""",1.0000591632,1.0006034885,0.9994782846,1.0001165888,62387883981.78,69051159569.88,"""2021-10-19T23:59:59.999Z"
2021-10-18T00:00:00.000Z,"""2021-10-18T23:59:59.999Z""","""2021-10-18T22:56:09.000Z""","""2021-10-18T08:55:09.000Z""",1.0003304346,1.0005676414,0.9993465392,1.0000191085,66503250420.06,69037389230.44,"""2021-10-18T23:59:59.999Z"
2021-10-17T00:00:00.000Z,"""2021-10-17T23:59:59.999Z""","""2021-10-17T20:18:16.000Z""","""2021-10-17T18:52:08.000Z""",1.0000101114,1.0006805336,0.9994725116,1.0002795191,57600914728.3,69055366954.44,"""2021-10-17T23:59:59.999Z"
2021-10-16T00:00:00.000Z,"""2021-10-16T23:59:59.999Z""","""2021-10-16T21:36:10.000Z""","""2021-10-16T01:44:08.000Z""",0.9991352525,1.0001766447,0.9990256023,1.0000403843,65419462010.49,68763846920.91,"""2021-10-16T23:59:59.999Z"
2021-10-15T00:00:00.000Z,"""2021-10-15T23:59:59.999Z""","""2021-10-15T11:44:08.000Z""","""2021-10-15T20:21:09.000Z""",0.9999773951,1.0005888306,0.9989666525,0.999151825,89456766433.34,68530894530.81,"""2021-10-15T23:59:59.999Z"
2021-10-14T00:00:00.000Z,"""2021-10-14T23:59:59.999Z""","""2021-10-14T09:35:08.000Z""","""2021-10-14T02:10:09.000Z""",1.0000620658,1.0002976995,0.9996829596,1.0000342373,68955958208.29,68801425559.98,"""2021-10-14T23:59:59.999Z"
