timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2022-07-10T00:00:00.000Z";"2022-07-10T23:59:59.999Z";"2022-07-10T05:25:00.000Z";"2022-07-10T15:37:00.000Z";0.999538654;0.9996292104;0.9993959381;0.99946462;40170710076.92;65955599834.56;"2022-07-10T23:59:59.999Z"
"2022-07-09T00:00:00.000Z";"2022-07-09T23:59:59.999Z";"2022-07-09T22:41:00.000Z";"2022-07-09T02:37:00.000Z";0.9994223261;0.9995723416;0.9993329254;0.999538489;38957001477.67;65960474522.33;"2022-07-09T23:59:59.999Z"
"2022-07-08T00:00:00.000Z";"2022-07-08T23:59:59.999Z";"2022-07-08T04:17:00.000Z";"2022-07-08T16:25:00.000Z";0.9994107774;0.9995755376;0.9992851171;0.9994181895;64720676602.95;65953885059.93;"2022-07-08T23:59:59.999Z"
"2022-07-07T00:00:00.000Z";"2022-07-07T23:59:59.999Z";"2022-07-07T20:23:00.000Z";"2022-07-07T00:13:00.000Z";0.9990892721;0.9995057896;0.9990189186;0.9994462428;41395542116.62;65957735256.27;"2022-07-07T23:59:59.999Z"
"2022-07-06T00:00:00.000Z";"2022-07-06T23:59:59.999Z";"2022-07-06T14:24:00.000Z";"2022-07-06T11:30:00.000Z";0.9990952852;0.9992205997;0.9989602968;0.9990979232;41932894214.22;65934748154.21;"2022-07-06T23:59:59.999Z"
"2022-07-05T00:00:00.000Z";"2022-07-05T23:59:59.999Z";"2022-07-05T04:40:00.000Z";"2022-07-05T15:02:00.000Z";0.9991181214;0.9992482173;0.9989360947;0.9990917052;46794873590.6;65983553009.16;"2022-07-05T23:59:59.999Z"
"2022-07-04T00:00:00.000Z";"2022-07-04T23:59:59.999Z";"2022-07-04T19:04:00.000Z";"2022-07-04T07:01:00.000Z";0.9990710461;0.9992229691;0.9989907543;0.9991085634;37816157113.53;66022632507.78;"2022-07-04T23:59:59.999Z"
"2022-07-03T00:00:00.000Z";"2022-07-03T23:59:59.999Z";"2022-07-03T19:33:00.000Z";"2022-07-03T00:34:00.000Z";0.9989526912;0.9991276241;0.9988912901;0.999078186;27890770459.25;66169266578.19;"2022-07-03T23:59:59.999Z"
"2022-07-02T00:00:00.000Z";"2022-07-02T23:59:59.999Z";"2022-07-02T07:54:00.000Z";"2022-07-02T03:42:00.000Z";0.9988549013;0.9991194298;0.9988265358;0.998959784;31666712587.86;66163322796.97;"2022-07-02T23:59:59.999Z"
"2022-07-01T00:00:00.000Z";"2022-07-01T23:59:59.999Z";"2022-07-01T21:55:00.000Z";"2022-07-01T07:30:00.000Z";0.9988602903;0.999137156;0.9987047154;0.9988671832;49683415219.76;66157189642.31;"2022-07-01T23:59:59.999Z"
"2022-06-30T00:00:00.000Z";"2022-06-30T23:59:59.999Z";"2022-06-30T02:07:00.000Z";"2022-06-30T22:45:00.000Z";0.9988878663;0.9990926648;0.9987618114;0.9988191764;45578518327.24;66336678355.72;"2022-06-30T23:59:59.999Z"
"2022-06-29T00:00:00.000Z";"2022-06-29T23:59:59.999Z";"2022-06-29T21:57:00.000Z";"2022-06-29T06:50:00.000Z";0.9988442091;0.9990576902;0.9985187581;0.9988844933;44380636376.96;66750375720.81;"2022-06-29T23:59:59.999Z"
